id	name	description	rgb[0]	rgb[1]	rgb[2]	reserved1
20146	無頭騎士		9C	E8	A9	-1
20147	哈柏哥布林		9C	E8	A9	-1
20148	餓靈		9C	E8	A9	-1
20149	鋼鐵高崙		9C	E8	A9	-1
20150	食人妖王		9C	E8	A9	-1
20151	地靈		9C	E8	A9	-1
20152	蜥蜴人		9C	E8	A9	-1
20153	魔翼		9C	E8	A9	-1
20154	曼陀羅草		9C	E8	A9	-1
20155	曼陀羅草成體		9C	E8	A9	-1
20156	曼陀羅草完全體		9C	E8	A9	-1
20157	沼澤司塔卡拓		9C	E8	A9	-1
20158	梅杜莎		9C	E8	A9	-1
20159	牛人		9C	E8	A9	-1
20160	尼勒鋼爪		9C	E8	A9	-1
20161	奧耶豺狼		9C	E8	A9	-1
20162	食人魔		9C	E8	A9	-1
20163	豺狼		9C	E8	A9	-1
20164	豺狼弓箭手		9C	E8	A9	-1
20165	豺狼擁護者		9C	E8	A9	-1
20166	魅魔		9C	E8	A9	-1
20167	蛇人奴隸		9C	E8	A9	-1
20168	賽勒諾斯		9C	E8	A9	-1
20169	骷髏警衛		9C	E8	A9	-1
20170	史巴托		9C	E8	A9	-1
20171	幽靈鐮刀		9C	E8	A9	-1
20172	風妖精		9C	E8	A9	-1
20173	巨魔		9C	E8	A9	-1
20174	雙頭巨人		9C	E8	A9	-1
20175	蘑菇		9C	E8	A9	-1
20176	亞龍		9C	E8	A9	-1
20177	人形殭屍		9C	E8	A9	-1
20189	水晶獅		9C	E8	A9	-1
20190	骷髏神射手		9C	E8	A9	-1
20191	骷髏兵		9C	E8	A9	-1
20192	暴君		9C	E8	A9	-1
20193	暴君之王		9C	E8	A9	-1
20194	水精女王		9C	E8	A9	-1
20197	幽魂		9C	E8	A9	-1
20198	尼勒鋼爪弗雷克		9C	E8	A9	-1
20199	安柏邪惡蜥蜴		9C	E8	A9	-1
20200	倦靈		9C	E8	A9	-1
20201	食屍鬼		9C	E8	A9	-1
20202	死亡追蹤者		9C	E8	A9	-1
20203	狄恩灰熊		9C	E8	A9	-1
20204	血腥蜜蜂		9C	E8	A9	-1
20205	惡狼		9C	E8	A9	-1
20206	卡地普狼人		9C	E8	A9	-1
20207	豺狼游擊隊		9C	E8	A9	-1
20208	豺狼突擊兵		9C	E8	A9	-1
20209	豺狼狙擊兵		9C	E8	A9	-1
20210	豺狼副隊長		9C	E8	A9	-1
20211	豺狼隊長		9C	E8	A9	-1
20212	突魯馬克	豺狼王	9C	E8	A9	-1
20213	破塔		9C	E8	A9	-1
20214	艾斯庫洛		9C	E8	A9	-1
20215	莫狄奧		9C	E8	A9	-1
20216	里森席歐		9C	E8	A9	-1
20217	克雷特		9C	E8	A9	-1
20218	普勒摩		9C	E8	A9	-1
20219	瓦里達斯		9C	E8	A9	-1
20220	迪克爾		9C	E8	A9	-1
20221	匹黎姆		9C	E8	A9	-1
20222	特菲		9C	E8	A9	-1
20223	曼陀羅草新芽		9C	E8	A9	-1
20224	豺狼巡邏兵		9C	E8	A9	-1
20225	米斯巨大水蛭		9C	E8	A9	-1
20226	古代螞蟻		9C	E8	A9	-1
20227	薄霧撕裂者		9C	E8	A9	-1
20228	赤螞蟻		9C	E8	A9	-1
20229	奇異蜜蜂		9C	E8	A9	-1
20230	沼澤司塔卡拓工人		9C	E8	A9	-1
20231	安皮克奧		9C	E8	A9	-1
20232	沼澤司塔卡拓士兵		9C	E8	A9	-1
20233	沼澤蜘蛛		9C	E8	A9	-1
20234	雄性沼澤司塔卡拓		9C	E8	A9	-1
20235	束縛靈		9C	E8	A9	-1
20236	洞穴僕人		9C	E8	A9	-1
20237	洞穴僕人弓箭手		9C	E8	A9	-1
20238	洞穴僕人戰士		9C	E8	A9	-1
20239	洞穴僕人隊長		9C	E8	A9	-1
20240	貴族洞穴僕人		9C	E8	A9	-1
20241	狩獵翼魔		9C	E8	A9	-1
20242	塵爆		9C	E8	A9	-1
20243	雷亞龍		9C	E8	A9	-1
20244	瑪魯克魅魔		9C	E8	A9	-1
20245	瑪魯克魅魔圖倫		9C	E8	A9	-1
20246	洞穴守衛		9C	E8	A9	-1
20248	突倫克食人妖		9C	E8	A9	-1
20249	突倫克食人妖戰士		9C	E8	A9	-1
20250	玻璃虎		9C	E8	A9	-1
20251	德魯蜥蜴人		9C	E8	A9	-1
20252	德魯蜥蜴人巡守		9C	E8	A9	-1
20253	德魯蜥蜴人戰士		9C	E8	A9	-1
20254	骷髏斧手		9C	E8	A9	-1
20255	巴吐獸人		9C	E8	A9	-1
20256	巴吐獸人弓箭手		9C	E8	A9	-1
20257	巴吐獸人戰士		9C	E8	A9	-1
20258	巴吐獸人巫師		9C	E8	A9	-1
20259	巴吐獸人王		9C	E8	A9	-1
20260	獸人英雄		9C	E8	A9	-1
20261	獸人巫師		9C	E8	A9	-1
20265	眼怪搜索者		9C	E8	A9	-1
20266	眼怪凝視者		9C	E8	A9	-1
20267	布賴卡獸人		9C	E8	A9	-1
20268	布賴卡獸人弓箭手		9C	E8	A9	-1
20269	布賴卡獸人巫師		9C	E8	A9	-1
20270	布賴卡獸人王		9C	E8	A9	-1
20271	布賴卡獸人戰士		9C	E8	A9	-1
20272	洞穴僕人		9C	E8	A9	-1
20273	洞穴僕人弓箭手		9C	E8	A9	-1
20274	洞穴僕人戰士		9C	E8	A9	-1
20275	洞穴僕人隊長		9C	E8	A9	-1
20276	貴族洞穴僕人		9C	E8	A9	-1
20277	洞穴守衛		9C	E8	A9	-1
20279	束縛靈		9C	E8	A9	-1
20280	無頭騎士		9C	E8	A9	-1
20281	塵爆		9C	E8	A9	-1
20282	雷亞龍		9C	E8	A9	-1
20283	瑪魯克魅魔		9C	E8	A9	-1
20284	瑪魯克魅魔圖倫		9C	E8	A9	-1
20285	飛龍		9C	E8	A9	-1
20286	狩獵翼魔		9C	E8	A9	-1
20287	蛇人之后		9C	E8	A9	-1
20291	安庫獸人英雄		9C	E8	A9	-1
20292	安庫獸人巫師		9C	E8	A9	-1
20293	皮魯德蜥蜴人		9C	E8	A9	-1
20294	皮魯德蜥蜴人女族長		9C	E8	A9	-1
20295	皮魯德蜥蜴人戰士		9C	E8	A9	-1
20296	皮魯德蜥蜴人巡守		9C	E8	A9	-1
20297	皮魯德蜥蜴人巫師		9C	E8	A9	-1
20298	皮魯德蜥蜴人巫師		9C	E8	A9	-1
20299	辛達蜥蜴人		9C	E8	A9	-1
20300	辛達蜥蜴人女族長		9C	E8	A9	-1
20301	辛達蜥蜴人巡守		9C	E8	A9	-1
20302	辛達蜥蜴人戰士		9C	E8	A9	-1
20303	辛達蜥蜴人巫師		9C	E8	A9	-1
20304	沼澤司塔卡拓女王		9C	E8	A9	-1
20305	葛雷姆		9C	E8	A9	-1
20307	噶倫狼人		9C	E8	A9	-1
20308	巨勾蜘蛛		9C	E8	A9	-1
20309	棕色狐狸		9C	E8	A9	-1
20310	棕熊		9C	E8	A9	-1
20311	鉤爪安普		9C	E8	A9	-1
20312	鉤爪安普獵人		9C	E8	A9	-1
20313	鉤爪安普首領		9C	E8	A9	-1
20314	大白鯊		9C	E8	A9	-1
20316	黑翼蝙蝠		9C	E8	A9	-1
20317	黑毛狼		9C	E8	A9	-1
20318	黑毛野狼		9C	E8	A9	-1
20319	盜墓哥布林		9C	E8	A9	-1
20320	盜墓哥布林隊長		9C	E8	A9	-1
20321	小偷哥布林		9C	E8	A9	-1
20322	山賊哥布林		9C	E8	A9	-1
20323	山賊哥布林隊長		9C	E8	A9	-1
20324	山賊哥布林副隊長		9C	E8	A9	-1
20325	哥布林掠奪者		9C	E8	A9	-1
20326	哥布林巡守		9C	E8	A9	-1
20327	哥布林搜索員		9C	E8	A9	-1
20328	哥布林監視員		9C	E8	A9	-1
20329	鬼魂守護者		9C	E8	A9	-1
20330	山蝙蝠		9C	E8	A9	-1
20331	眼怪追捕者		9C	E8	A9	-1
20333	灰石高崙		9C	E8	A9	-1
20334	食腐葛林		9C	E8	A9	-1
20335	大灰熊		9C	E8	A9	-1
20336	綠色樹精		9C	E8	A9	-1
20337	長尾狐狸		9C	E8	A9	-1
20338	夢靨之翼		9C	E8	A9	-1
20340	奴隸骷髏		9C	E8	A9	-1
20341	奴隸亡靈		9C	E8	A9	-1
20342	狼人酋長		9C	E8	A9	-1
20343	狩獵狼人		9C	E8	A9	-1
20345	黑夜之懼		9C	E8	A9	-1
20346	黑暗石高崙		9C	E8	A9	-1
20347	死亡之刃		9C	E8	A9	-1
20348	洞穴蜘蛛		9C	E8	A9	-1
20349	洞穴蝙蝠		9C	E8	A9	-1
20350	洞穴戮殺者		9C	E8	A9	-1
20351	德雷巴奴追捕者		9C	E8	A9	-1
20352	德雷巴奴兇手		9C	E8	A9	-1
20353	德雷巴奴觀察者		9C	E8	A9	-1
20354	矮人鬼魂		9C	E8	A9	-1
20356	朗克蜥蜴人隊長		9C	E8	A9	-1
20357	朗克蜥蜴人副隊長		9C	E8	A9	-1
20358	狩獵鼠人		9C	E8	A9	-1
20359	鼠人戰士		9C	E8	A9	-1
20360	鼠人間諜		9C	E8	A9	-1
20361	雷沃恩特獸人射手		9C	E8	A9	-1
20362	雷沃恩特獸人鬥士隊長		9C	E8	A9	-1
20363	瑪剌庫狼人		9C	E8	A9	-1
20364	瑪剌庫狼人首領		9C	E8	A9	-1
20365	山蘑菇		9C	E8	A9	-1
20367	梅肯尼斯護衛兵		9C	E8	A9	-1
20368	守墓人		9C	E8	A9	-1
20369	月石獸		9C	E8	A9	-1
20370	長刺蝙蝠		9C	E8	A9	-1
20371	薄霧之懼		9C	E8	A9	-1
20372	巴拉克獸人鬥士		9C	E8	A9	-1
20373	巴拉克獸人鬥士隊長		9C	E8	A9	-1
20374	巴蘭卡警衛兵		9C	E8	A9	-1
20375	巴蘭卡護衛兵		9C	E8	A9	-1
20376	巴里卡盜賊隊長		9C	E8	A9	-1
20377	巴里卡盜賊		9C	E8	A9	-1
20378	巨石		9C	E8	A9	-1
20379	巨石士兵		9C	E8	A9	-1
20380	巨石守護者		9C	E8	A9	-1
20381	巴斯獸人		9C	E8	A9	-1
20382	巴斯獸人隊長		9C	E8	A9	-1
20383	縛靈		9C	E8	A9	-1
20385	貝爾勒獸人弓箭手		9C	E8	A9	-1
20386	貝爾勒獸人鬥士		9C	E8	A9	-1
20387	貝爾勒獸人鬥士隊長		9C	E8	A9	-1
20388	貝爾勒獸人鬥士副隊長		9C	E8	A9	-1
20389	布基鼠人		9C	E8	A9	-1
20390	布基鼠人隊長		9C	E8	A9	-1
20391	紅狐狸		9C	E8	A9	-1
20392	紅眼蝙蝠		9C	E8	A9	-1
20393	食腐紅蜘蛛		9C	E8	A9	-1
20394	赤毛狼蜘蛛		9C	E8	A9	-1
20398	里庫拉卡斯		9C	E8	A9	-1
20399	里庫拉卡斯之子		9C	E8	A9	-1
20400	血蘑菇		9C	E8	A9	-1
20401	必倫食人妖		9C	E8	A9	-1
20402	必倫食人妖戰士	變得凶暴的	9C	E8	A9	-1
20403	獵人狼蛛		9C	E8	A9	-1
20404	沉靜之懼		9C	E8	A9	-1
20405	幼棕狐狸		9C	E8	A9	-1
20406	幼紅狐狸		9C	E8	A9	-1
20407	幼赤狐狸		9C	E8	A9	-1
20410	食腐蜘蛛		9C	E8	A9	-1
20411	食腐蝙蝠	變得凶暴的	9C	E8	A9	-1
20412	基座		9C	E8	A9	-1
20415	猩紅火蜥蜴		9C	E8	A9	-1
20416	猩紅火蜥蜴利比		9C	E8	A9	-1
20418	象牙獸		9C	E8	A9	-1
20419	阿卡斯特魅魔		9C	E8	A9	-1
20420	阿卡斯特魅魔圖倫		9C	E8	A9	-1
20421	阿卡斯特魅魔堤佛		9C	E8	A9	-1
20422	阿卡斯特白骨將軍		9C	E8	A9	-1
20423	阿卡斯特白骨弓箭手		9C	E8	A9	-1
20424	阿卡斯特白骨之王		9C	E8	A9	-1
20425	阿卡斯特白骨士兵		9C	E8	A9	-1
20426	惡魔之眼		9C	E8	A9	-1
20427	惡魔之眼監視者		9C	E8	A9	-1
20428	惡魔之眼巡查者		9C	E8	A9	-1
20429	惡魔之眼監視哨		9C	E8	A9	-1
20431	精靈鬼魂		9C	E8	A9	-1
20432	獨角兔		9C	E8	A9	-1
20433	疫病蝙蝠		9C	E8	A9	-1
20435	貓眼獸		9C	E8	A9	-1
20436	豺狼補充兵		9C	E8	A9	-1
20437	豺狼新兵		9C	E8	A9	-1
20438	豺狼將軍		9C	E8	A9	-1
20439	豺狼下士官		9C	E8	A9	-1
20440	棕狐狸首領		9C	E8	A9	-1
20441	長尾狐狸首領		9C	E8	A9	-1
20442	狼首領		9C	E8	A9	-1
20443	紅狐狸首領		9C	E8	A9	-1
20444	赤狐狸首領		9C	E8	A9	-1
20445	烏山卡海賊		9C	E8	A9	-1
20446	烏土庫獸人		9C	E8	A9	-1
20447	烏土庫獸人弓箭手		9C	E8	A9	-1
20448	烏土庫獸人士兵		9C	E8	A9	-1
20449	燐火		9C	E8	A9	-1
20450	遺蹟狼人		9C	E8	A9	-1
20451	遺蹟史巴托		9C	E8	A9	-1
20453	人類鬼魂		9C	E8	A9	-1
20454	被遺忘的監視者		9C	E8	A9	-1
20455	末日士兵		9C	E8	A9	-1
20456	灰狼		9C	E8	A9	-1
20457	人形殭屍士兵		9C	E8	A9	-1
20458	人形殭屍鬥士	變得凶暴的	9C	E8	A9	-1
20460	赤蜘蛛		9C	E8	A9	-1
20461	地城蜘蛛		9C	E8	A9	-1
20462	地城戮殺者		9C	E8	A9	-1
20463	地城骷髏弓箭手		9C	E8	A9	-1
20464	地城骷髏士兵		9C	E8	A9	-1
20465	赤狐狸		9C	E8	A9	-1
20466	長爪蜘蛛		9C	E8	A9	-1
20468	卡布獸人		9C	E8	A9	-1
20469	卡布獸人弓箭手		9C	E8	A9	-1
20470	卡布獸人士兵		9C	E8	A9	-1
20471	卡布獸人鬥士		9C	E8	A9	-1
20472	卡布獸人鬥士隊長		9C	E8	A9	-1
20473	卡布獸人鬥士副隊長		9C	E8	A9	-1
20474	卡沙蜘蛛		9C	E8	A9	-1
20475	卡沙狼		9C	E8	A9	-1
20476	卡沙長齒蜘蛛		9C	E8	A9	-1
20477	卡沙灰狼		9C	E8	A9	-1
20478	卡沙刀刃蜘蛛		9C	E8	A9	-1
20479	卡沙熊		9C	E8	A9	-1
20480	刀刃蝙蝠		9C	E8	A9	-1
20481	狐狗		9C	E8	A9	-1
20483	鬼火		9C	E8	A9	-1
20487	庫勒卡鼠人		9C	E8	A9	-1
20488	庫勒卡狩獵鼠人		9C	E8	A9	-1
20489	閃銀獸		9C	E8	A9	-1
20490	赤色人偶		9C	E8	A9	-1
20491	地穴之懼		9C	E8	A9	-1
20492	克魯納克護衛兵		9C	E8	A9	-1
20494	土瑞克軍犬		9C	E8	A9	-1
20495	土瑞克獸人將軍		9C	E8	A9	-1
20496	土瑞克獸人弓箭手		9C	E8	A9	-1
20497	土瑞克獸人突襲兵		9C	E8	A9	-1
20498	土瑞克獸人補充兵		9C	E8	A9	-1
20499	土瑞克獸人步兵		9C	E8	A9	-1
20500	土瑞克獸人哨兵		9C	E8	A9	-1
20501	土瑞克獸人巫師		9C	E8	A9	-1
20502	特紋克水晶獅		9C	E8	A9	-1
20504	恐懼士兵		9C	E8	A9	-1
20505	廢墟蝙蝠		9C	E8	A9	-1
20506	廢墟安普	變得凶暴的	9C	E8	A9	-1
20507	廢墟安普利比	變得凶暴的	9C	E8	A9	-1
20508	掠食者狼蛛		9C	E8	A9	-1
20509	蘑菇孢子		9C	E8	A9	-1
20510	水晶獅		9C	E8	A9	-1
20511	松脂石高崙		9C	E8	A9	-1
20512	荒野追蹤者		9C	E8	A9	-1
20513	骷髏騎士		9C	E8	A9	-1
20514	骷髏護衛兵		9C	E8	A9	-1
20515	骷髏步兵		9C	E8	A9	-1
20516	骷髏哨兵		9C	E8	A9	-1
20517	骷髏獵人		9C	E8	A9	-1
20518	骷髏獵人弓箭手		9C	E8	A9	-1
20519	骷髏槍兵		9C	E8	A9	-1
20520	海賊王烏山卡		9C	E8	A9	-1
20521	玄武石高崙		9C	E8	A9	-1
20522	白牙		9C	E8	A9	-1
20524	灰狼		9C	E8	A9	-1
20525	灰毛狼		9C	E8	A9	-1
20526	黑曜石高崙		9C	E8	A9	-1
20527	白狼		9C	E8	A9	-1
20528	哥布林王		9C	E8	A9	-1
20529	幼棕狐狗		9C	E8	A9	-1
20530	幼紅狐狗		9C	E8	A9	-1
20531	幼赤狐狗		9C	E8	A9	-1
20532	棕狐狗		9C	E8	A9	-1
20533	長尾狐狗		9C	E8	A9	-1
20534	紅狐狗		9C	E8	A9	-1
20535	赤狐狗		9C	E8	A9	-1
20536	棕狐狗首領		9C	E8	A9	-1
20537	紅狐狗首領		9C	E8	A9	-1
20538	赤狐狗首領		9C	E8	A9	-1
20539	長尾狐狗首領		9C	E8	A9	-1
20540	寶石獸		9C	E8	A9	-1
20541	礦坑蝙蝠		9C	E8	A9	-1
20542	骷髏長弓手		9C	E8	A9	-1
20543	靈魂		9C	E8	A9	-1
20544	狐狗首領		9C	E8	A9	-1
20545	幼狐狗		9C	E8	A9	-1
20546	土瑞克獸人首領		9C	E8	A9	-1
20547	豺狼後備兵		9C	E8	A9	-1
20548	豺狼逃亡者		9C	E8	A9	-1
20549	豺狼王		9C	E8	A9	-1
20550	邪惡蜥蜴守護者		9C	E8	A9	-1
20551	食腐王		9C	E8	A9	-1
20552	赤色束縛		9C	E8	A9	-1
20553	溫德薩斯		9C	E8	A9	-1
20554	葛雷迪斯		9C	E8	A9	-1
20555	巨大蘑菇		9C	E8	A9	-1
20556	巨大眼怪		9C	E8	A9	-1
20557	邪惡亞龍		9C	E8	A9	-1
20558	腐爛樹		9C	E8	A9	-1
20559	腐爛高崙		9C	E8	A9	-1
20560	崔沙林		9C	E8	A9	-1
20561	崔沙林多得		9C	E8	A9	-1
20562	孢子殭屍		9C	E8	A9	-1
20563	瑪那宣		9C	E8	A9	-1
20564	附法眼怪		9C	E8	A9	-1
20565	附法岩石高崙		9C	E8	A9	-1
20566	附法鋼鐵高崙		9C	E8	A9	-1
20567	附法翼魔		9C	E8	A9	-1
20568	拜佛特		9C	E8	A9	-1
20569	拜佛特辛爵		9C	E8	A9	-1
20570	塔爾克食人妖		9C	E8	A9	-1
20571	塔爾克食人妖戰士		9C	E8	A9	-1
20572	塔爾克食人妖高等戰士		9C	E8	A9	-1
20573	塔爾克邪惡蜥蜴		9C	E8	A9	-1
20574	塔爾克邪惡蜥蜴首領		9C	E8	A9	-1
20575	奧耶豺狼戰士		9C	E8	A9	-1
20576	奧耶豺狼巫醫		9C	E8	A9	-1
20577	里多蜥蜴人		9C	E8	A9	-1
20578	里多蜥蜴人弓箭手		9C	E8	A9	-1
20579	里多蜥蜴人士兵		9C	E8	A9	-1
20580	里多蜥蜴人戰士		9C	E8	A9	-1
20581	里多蜥蜴人巫師		9C	E8	A9	-1
20582	里多蜥蜴人族長		9C	E8	A9	-1
20583	提瑪克獸人		9C	E8	A9	-1
20584	提瑪克獸人弓箭手		9C	E8	A9	-1
20585	提瑪克獸人士兵		9C	E8	A9	-1
20586	提瑪克獸人戰士		9C	E8	A9	-1
20587	提瑪克獸人巫師		9C	E8	A9	-1
20588	提瑪克獸人王		9C	E8	A9	-1
20589	佛萊		9C	E8	A9	-1
20590	賴雷		9C	E8	A9	-1
20591	提米克倫		9C	E8	A9	-1
20592	片奴		9C	E8	A9	-1
20593	獨角獸		9C	E8	A9	-1
20594	森林信使		9C	E8	A9	-1
20595	佛萊首領		9C	E8	A9	-1
20596	賴雷首領		9C	E8	A9	-1
20597	提米克倫首領		9C	E8	A9	-1
20598	片奴首領		9C	E8	A9	-1
20599	獨角獸首領		9C	E8	A9	-1
20600	卡魯食人妖		9C	E8	A9	-1
20601	塔林獸人		9C	E8	A9	-1
20602	塔林獸人弓箭手		9C	E8	A9	-1
20603	可洛比		9C	E8	A9	-1
20604	拉金		9C	E8	A9	-1
20605	奇異的飛龍		9C	E8	A9	-1
20606	庫倫地靈		9C	E8	A9	-1
20607	庫倫地靈戰士		9C	E8	A9	-1
20608	巴丁		9C	E8	A9	-1
20609	火蜥蜴拉金		9C	E8	A9	-1
20610	火焰觀察者		9C	E8	A9	-1
20611	德雷巴奴康菲		9C	E8	A9	-1
20612	火蜥蜴羅溫		9C	E8	A9	-1
20613	拉菲蜥蜴人		9C	E8	A9	-1
20614	拉菲蜥蜴人巡守		9C	E8	A9	-1
20615	瑞特摩		9C	E8	A9	-1
20616	水精拉金		9C	E8	A9	-1
20617	水之觀察者		9C	E8	A9	-1
20618	魅魔卡尼		9C	E8	A9	-1
20619	水精羅溫		9C	E8	A9	-1
20620	洞穴獸		9C	E8	A9	-1
20621	死亡波動		9C	E8	A9	-1
20622	瑪魯克士兵		9C	E8	A9	-1
20623	波倫多		9C	E8	A9	-1
20624	洞穴咆哮者		9C	E8	A9	-1
20625	瑪魯克騎士		9C	E8	A9	-1
20626	瑪魯克狂戰士		9C	E8	A9	-1
20627	瑪魯克王		9C	E8	A9	-1
20628	黎瑪卡霖尼司		9C	E8	A9	-1
20629	卡拉克		9C	E8	A9	-1
20630	泰可獸人		9C	E8	A9	-1
20631	泰可獸人弓手		9C	E8	A9	-1
20632	泰可獸人戰士		9C	E8	A9	-1
20633	泰可獸人咒術士		9C	E8	A9	-1
